Régime particulier,Nombre places calculées,Adresse complète,Type mobilier,Numéro mobilier,geo_point_2d,Tarif
Vélos,4,46 AV DE SUFFREN,Sans,0,"48.85373344530089, 2.2967842311554763",Gratuit
Vélos,4,2 RUE DE LUYNES,Sans,0,"48.85547298250284, 2.326711652990406",Gratuit
Vélos,4,37 RUE DES VOLONTAIRES,Sans,0,"48.840517840781345, 2.3086789253664337",Gratuit
Vélos,4,14 RUE JOBBE DUVAL,Sans,0,"48.834560052958466, 2.298715284028626",Gratuit
Vélos,4,39 RUE GALILEE,Sans,0,"48.87020873617855, 2.2965883523984316",Gratuit
Vélos,20,20 RUE FRANCOIS TRUFFAUT,Nougarette,10,"48.83298855094212, 2.3854630068358924",Gratuit
Vélos,4,15 RUE LIANCOURT,Sans,0,"48.833781378749634, 2.3275077651218443",Gratuit
Vélos,4,23 RUE PAUL VALERY,Sans,0,"48.87058194901363, 2.2895497602357957",Gratuit
Vélos,4,34 RUE DE TURIN,Nougarette,2,"48.88223824360102, 2.3244412496954556",Gratuit
Vélos,4,3 RUE DE SAINT-SIMON,Sans,0,"48.85646226980072, 2.324182478648115",Gratuit
Vélos,5,27 RUE DES WALLONS,Sans,0,"48.83820904891199, 2.3584761770478306",Gratuit
Vélos,4,22 RUE DE TURIN,Nougarette,2,"48.881423834884984, 2.3246335018481874",Gratuit
Vélos,4,4 RUE ROTROU,Sans,0,"48.84932811734807, 2.33839270584616",Gratuit
Vélos,4,6 RUE ELISA BOREY,Sans,0,"48.86621550964809, 2.3900798237614556",Gratuit
Vélos,4,23 RUE DE LA COMETE,Sans,0,"48.85810152862957, 2.309289226565827",Gratuit
Vélos,10,23 BD DE BELLEVILLE,Nougarette,5,"48.868263966665886, 2.381402868522801",Gratuit
Vélos,48,36 BD DE PORT-ROYAL,Nougarette,24,"48.83726815221108, 2.348100425675586",Gratuit
Vélos,4,13 AV D' EYLAU,Sans,0,"48.864104962852736, 2.2853340417959993",Gratuit
Vélos,5,13 RUE FIZEAU,Sans,0,"48.83051710780208, 2.3040147030812106",Gratuit
Vélos,8,9 RUE DULAC,Nougarette,4,"48.843226004090035, 2.3155492531657664",Gratuit
Vélos,4,132 RUE DE LA POMPE,Sans,0,"48.86809733489694, 2.281282492095756",Gratuit
Vélos,5,2 PAS SAINT-AMBROISE,Sans,0,"48.86256422257595, 2.377967628850715",Gratuit
Vélos,8,16 RUE D' ENGHIEN,Nougarette,4,"48.871898997779105, 2.3516935783120765",Gratuit
Vélos,5,27 BD DE GRENELLE,Sans,0,"48.852743934800046, 2.290666307910673",Gratuit
Vélos,12,8 RUE MONTESQUIEU,Nougarette,6,"48.86317211108021, 2.33860106244411",Gratuit
Vélos,4,5 RUE MULLER,Sans,0,"48.88671979433444, 2.346738266413772",Gratuit
